"Category","Order","Stage_or_Item","MATLAB_function_or_setting","Default_value_or_location","Inputs","Outputs","Purpose_or_description","Notes"
"Pipeline","0","Master runner","CARE_Full_MARA_QC_MVGC_Pipeline_Run.m","/Users/janet/Documents/TDSEM Developmental Calibration Research/scripts/CARE_Full_MARA_QC_MVGC_Pipeline_Run.m","Name-value options; TaskReady files; QC masks; MVGC toolbox functions","TaskReady files; QC mask files; MVGC CSV outputs; task-specific manifests","Standardized wrapper that runs MARA preprocessing, mathematical QC, and ROI-level MVGC with pseudo-dyad permutation nulls.","Run in MATLAB after adding the scripts folder to the path."
"Argument","1","TaskReadyDir","TaskReadyDir","/Users/janet/Desktop/Preprocessing/Preprocessing_fNIRS_StepA/Mara/Mara_TaskReady","Folder containing raw TXT data and later *_TaskReady.mat files","Used by MARA, QC, and MVGC stages","Defines the main working/data directory for the fNIRS pipeline.","Can be overridden with CARE_Full_MARA_QC_MVGC_Pipeline_Run('TaskReadyDir', path)."
"Argument","2","QCDir","QCDir","/Users/janet/Desktop/Preprocessing/Preprocessing_fNIRS_StepA/Mara/QC_MATH","TaskReady files from TaskReadyDir","*_TaskReady_QC.mat; QC_channel_table.csv; QC_segment_table.csv","Defines the central folder for mathematical QC masks and QC summary tables.","Created automatically by the master runner if missing and DryRun is false."
"Argument","3","RunMARA","RunMARA","true","Raw concentration TXT files; parent.SD; fNIRS_Task_Marker_Manipulated.csv","*_Convert2DoD.mat; *_MARA_Conc.mat; QC_Plots/*.png; *_TaskReady.mat","Controls whether the MARA and TaskReady generation stage is run.","Set false to preserve existing TaskReady files and run only QC/MVGC."
"Argument","4","RunQC","RunQC","true","*_TaskReady.mat files","*_TaskReady_QC.mat; QC_channel_table.csv; QC_segment_table.csv","Controls whether mathematical QC and channel keep-mask generation is run.","QC is needed before MVGC because MVGC uses the saved keep masks."
"Argument","5","RunMVGC","RunMVGC","true","*_TaskReady.mat files; *_TaskReady_QC.mat files; MVGC toolbox","GC_*.csv outputs; permutation outputs; GC_pipeline_manifest_*.csv","Controls whether ROI-level MVGC and pseudo-dyad null analyses are run.","Runs once for each task listed in Tasks."
"Argument","6","Tasks","Tasks","{'ST','FT'}","Task labels in outTask structures","Task-specific MVGC output folders","Defines which task contexts are analyzed by MVGC.","Only ST and FT are accepted by the master runner."
"Argument","7","DryRun","DryRun","false","Configuration only","Printed expected output paths","Checks and prints what the pipeline would run without modifying files.","Useful before rerunning a pipeline when you do not want to overwrite or regenerate files."
"Stage","1","MARA + TaskReady generation","CARE_MARA_TaskReady_Run.m","TaskReadyDir","*.txt; parent.SD; fNIRS_Task_Marker_Manipulated.csv","*_Convert2DoD.mat; *_MARA_Conc.mat; QC_Plots/*.png; *_TaskReady.mat","Parses Shimadzu concentration TXT files, separates parent and child Hb signals, applies MARA motion correction, optionally applies WTC denoising, creates QC plots, and segments data into baseline/structured/free-task TaskReady files.","MARA is run on reshaped time-by-66 data and reshaped back to time-by-3-by-22 concentration arrays."
"Stage","1a","TXT to concentration structure","Internal Stage A in CARE_MARA_TaskReady_Run.m","fs = 1/0.135; 22 channels; 3 chromophores","Raw TXT concentration files; parent.SD","*_Convert2DoD.mat","Reads raw concentration rows, separates parent and child signals, and stores HbO/HbR/HbT as nTime-by-3-by-22 arrays.","Parent and child are assumed to use the same 22-channel layout."
"Stage","1b","MARA motion correction","Internal Stage B in CARE_MARA_TaskReady_Run.m","MARA_L_SEC = 1.0; MARA_TH_MULT = 3; MARA_ALPHA_SEC = 6","*_Convert2DoD.mat","*_MARA_Conc.mat","Applies MARA to continuous parent and child concentration signals and saves corrected HbO, HbR, and HbT matrices.","Corrected matrices are also stored as convenient parent/child hbo, hbr, and hbt fields."
"Stage","1c","Visual QC plots","Internal Stage B2 in CARE_MARA_TaskReady_Run.m","QC_DIR = QC_Plots; QC_CHROMO = 1","*_Convert2DoD.mat; *_MARA_Conc.mat","QC_Plots/*.png","Creates before/after plots for visual inspection of MARA correction.","Plots are diagnostic and are separate from the mathematical QC masks used for MVGC."
"Stage","1d","Task segmentation and optional WTC denoising","Later stages in CARE_MARA_TaskReady_Run.m","USE_WTC = true; WTC_ALPHA = 0.5; BUFFER_SEC = 15","*_MARA_Conc.mat; task markers","*_TaskReady.mat","Segments continuous corrected signals into baseline, structured task, and free task periods and prepares GC-ready data structures.","These files become the direct input to the mathematical QC stage."
"Stage","2","TaskReady mathematical QC + keep masks","CARE_TaskReady_QC_and_Masks_Run.m","QCDir","*_TaskReady.mat","*_TaskReady_QC.mat; QC_channel_table.csv; QC_segment_table.csv","Computes channel-level quality metrics and saves role/task/segment-specific keep masks for parent and child channels.","Negative Hb values are allowed; the script does not rectify or take absolute values."
"Stage","2a","Unwanted channel exclusion","UNWANTED","[2 4 6 17 19 21]","22-channel TaskReady HbO/HbR matrices","Labels BAD_UNWANTED; keepMask false","Always excludes channels that are not part of the later GC analysis.","Remaining 16 channels support the four ROI definitions used in MVGC."
"Stage","2b","QC metric thresholds","cfg in CARE_TaskReady_QC_and_Masks_Run.m","min_sd_ratio=0.10; spike_mad_k=6; max_spike_rate=0.02; drift bad=0.08; kurt_z_bad=4; ADF alpha=0.05","HbO channel time series","GOOD/BORDERLINE/BAD labels and keep masks","Flags flat/noisy/drifting/spiky/nonstationary channels using mathematical criteria.","Default policy keeps GOOD channels only; BORDERLINE channels are not kept unless keep_borderline is set true."
"Stage","2c","Cleaned signal storage","apply_mode","nan","TaskReady HbO/HbR matrices; keep masks","outQC.tasks.<task>.segments(k).role.<Parent/Child>.hbo_clean","Applies masks by preserving 22 columns and setting dropped channels to NaN.","Preserving dimensions keeps channel identities stable for ROI mapping."
"Stage","3","ROI-level MVGC + pseudo-dyad null","CARE_MVGC_4ROI_Run.m","Runs separately for each task in Tasks","*_TaskReady.mat; *_TaskReady_QC.mat; MVGC toolbox functions","Task-specific GC real, pseudo/null, summary, and manifest CSV files","Builds 4-ROI parent and child time series, estimates multivariate Granger causality, and compares real dyads with pseudo-dyad null distributions.","The same MVGC engine is used for real and null dyads."
"Stage","3a","ROI mapping","CFG.ROI","LDLPFC=[1 8 16 9]; RDLPFC=[5 12 20 13]; LTPJ=[3 10 18 11]; RTPJ=[7 14 22 15]","QC-cleaned HbO channels","Eight ROI time series: four parent ROIs and four child ROIs","Averages valid channels into four fixed ROIs for each member of the dyad.","Requires at least 2 good channels per ROI; current configuration requires all 4 ROIs."
"Stage","3b","Eligibility cache","ELIG_<TASK>.mat","MARA/CACHE","TaskReady data; QC masks","Cached eligible dyad structures with X, fs, Tobs, and model order","Builds or reloads eligible dyads for each task to avoid repeated preprocessing.","If cached eligibility should be refreshed, clear the relevant cache file intentionally."
"Stage","3c","MVGC preprocessing","CFG.DETREND; CFG.ZSCORE; CFG.HB","DETREND=true; ZSCORE=true; HB='hbo'","ROI time series","Preprocessed 8-variable time series","Detrends and z-scores ROI time series before VAR/MVGC estimation.","Analysis is based on HbO."
"Stage","3d","VAR model order","choose_morder_BIC_safe","MAX_ORDER=30; ESTIMATOR='LWR'; fallback=10","Preprocessed ROI time series","Dyad-specific BIC-selected model order","Selects a model order for each real dyad before MVGC estimation.","Real dyad model orders are not forced onto pseudo dyads; null mode is configured separately."
"Stage","3e","Pseudo-dyad null","CFG.PSEUDO_USE_FULL_ORDERED_POOL; CFG.NULL_MO_MODE","Full ordered non-self pool; NULL_MO_MODE='DYAD_MEAN'","Eligible real dyads","Pseudo-dyad null GC distributions","Creates parent-child recombinations across different dyads to estimate dyad-specificity null distributions.","When full ordered pool is true, number of pseudo dyads equals nReal*(nReal-1)."
"Stage","3f","Primary permutation test","PrimaryTail","upper_real_gt_null","Real global interbrain GC; pseudo-dyad null","Global, edge, route, and asymmetry comparison CSVs","Tests whether real dyads show stronger interbrain GC than pseudo-dyad null expectations.","Primary tail is upper-tailed real > null."
"Output","1","TaskReady files","*_TaskReady.mat","TaskReadyDir","MARA-corrected and segmented signals","Input to QC and MVGC","Contains baseline, structured-task, and free-task segments for parent and child signals.","Generated by CARE_MARA_TaskReady_Run."
"Output","2","QC mask files","*_TaskReady_QC.mat","QCDir","TaskReady files","Input to MVGC","Stores channel labels, keep masks, metrics, and cleaned HbO/HbR matrices by dyad/task/segment/role.","Generated by CARE_TaskReady_QC_and_Masks_Run."
"Output","3","QC channel summary","QC_channel_table.csv","QCDir","Channel-level QC metrics","CSV table","Long-format table describing each dyad, task, segment, role, and channel quality result.","Useful for reporting data quality and channel exclusion."
"Output","4","QC segment summary","QC_segment_table.csv","QCDir","Segment-level QC counts","CSV table","Summarizes number and percentage of GOOD/BORDERLINE/BAD channels per dyad, task, segment, and role.","Useful for sample/channel retention reporting."
"Output","5","MVGC output folders","MARA/ST and MARA/FT","TaskReadyDir/MARA/<TASK>","Eligible dyads and QC masks","GC_*.csv files; GC_pipeline_manifest_<TASK>.csv","Stores real-dyad MVGC results, pseudo-dyad null results, permutation tests, and pipeline manifest for each task.","Exact files depend on task and export switches in CARE_MVGC_4ROI_Run."
"Recommended_use","1","Full rerun","CARE_Full_MARA_QC_MVGC_Pipeline_Run","Default","Raw inputs and scripts","All pipeline outputs","Runs MARA, QC, and MVGC for both ST and FT.","Use only when you want to regenerate preprocessing products."
"Recommended_use","2","Preserve TaskReady files","CARE_Full_MARA_QC_MVGC_Pipeline_Run('RunMARA', false)","RunMARA=false","Existing *_TaskReady.mat files","New QC and MVGC outputs","Runs only QC and MVGC without regenerating TaskReady files.","Useful when you do not want to disturb previous preprocessing outputs."
"Recommended_use","3","Dry run","CARE_Full_MARA_QC_MVGC_Pipeline_Run('DryRun', true)","DryRun=true","Configuration only","Printed expected outputs","Checks paths and planned stages without writing files.","Good first command before a major rerun."
